Section ID,Casette ID,katmai_path,Use
SP048Z1-C27-Fp1U1,37329,/diskmnt/primary/Xenium/data/20240927__185207__20240927_5K_Multi_PCa_GBM_PKD/output-XETG00063__0037329__S18-5929-C27U1__20240927__185257,Yes
SP016Z1-Fp1U2,37329,/diskmnt/primary/Xenium/data/20240927__185207__20240927_5K_Multi_PCa_GBM_PKD/output-XETG00063__0037329__S18-8122-B28U1__20240927__185257,Yes
HT832Z1-S1H1Fp1U2,37126,/diskmnt/primary/Xenium/data/20241010__203252__20241010_5K_MGI_PKD_PCa_PDAC_CRC/output-XETG00113__0037126__HT832Z1U1__20241010__203413,Yes
HT1011Z1-S1H3Fp1U1,43322,/diskmnt/primary/Xenium/data/20241227__223539__20241227_5K_MGI_CRC_RCC_MM_PCa/output-XETG00113__0043322__HT1011Z1-S1H3Fp1U1__20241227__223819,Yes
SP048Z1-C27-Fp1Us1_63,0054396,/diskmnt/primary/Xenium/data/20250308__210521__20250308_5K_Prostate_serial/output-XETG00523__0054396__SP048Z1-C27-Fp1Us1_63__20250308__210551,Yes
SP048Z1-C27-Fp1Us1_91,0054782,/diskmnt/primary/Xenium/data/20250308__210521__20250308_5K_Prostate_serial/output-XETG00523__0054782__SP048Z1-C27-Fp1Us1_91__20250308__210551,Yes
SP082Z1-A26-Fp1U1,0054639,/diskmnt/primary/Xenium/data/20250326__170443__20250326_5K_PCa/output-XETG00523__0054639__SP082Z1-A26-Fp1U1__20250326__170613,Yes
SP080Z1-A25-Fp1U1,0054639,/diskmnt/primary/Xenium/data/20250326__170443__20250326_5K_PCa/output-XETG00523__0054639__SP080Z1-A25-Fp1U1__20250326__170613,Yes
SP083Z1-A17-Fp1U1,0054642,/diskmnt/primary/Xenium/data/20250326__170443__20250326_5K_PCa/output-XETG00523__0054642__SP083Z1-A17-Fp1U1__20250326__170613,Yes
SP081Z1-A29-Fp1U1,0054642,/diskmnt/primary/Xenium/data/20250326__170443__20250326_5K_PCa/output-XETG00523__0054642__SP081Z1-A29-Fp1U1__20250326__170613,Yes
SP079Z1-A14-Fp1U1,0054642,/diskmnt/primary/Xenium/data/20250326__170443__20250326_5K_PCa/output-XETG00523__0054642__SP079Z1-A14-Fp1U1__20250326__170613,Yes
SP092Z1-A25-Fp1U1,0043805,/diskmnt/primary/Xenium/data/20250501__171918__20250501_MGI_5k_pca_rcc/output-XETG00113__0043805__SP092Z1-A25-Fp1U1__20250501__172149,Yes
SP095Z1-A24-Fp1U1,0043805,/diskmnt/primary/Xenium/data/20250501__171918__20250501_MGI_5k_pca_rcc/output-XETG00113__0043805__SP095Z1-A24-Fp1U1__20250501__172150,Yes
SP097Z1-C17-Fp1U1,0043805,/diskmnt/primary/Xenium/data/20250501__171918__20250501_MGI_5k_pca_rcc/output-XETG00113__0043805__SP097Z1-C17-Fp1U1__20250501__172150,Yes
SP096Z1-A15-Fp1U1,0043805,/diskmnt/primary/Xenium/data/20250501__171918__20250501_MGI_5k_pca_rcc/output-XETG00113__0043805__SP096Z1-A15-Fp1U1__20250501__172150,Yes
SP093Z1-B6-Fp1U1Q1,0043813,/diskmnt/primary/Xenium/data/20250501__171918__20250501_MGI_5k_pca_rcc/output-XETG00113__0043813__SP093Z1-B6-Fp1U1Q1__20250501__172150,Yes
SP093Z1-B6-Fp1U1Q2,0043813,/diskmnt/primary/Xenium/data/20250501__171918__20250501_MGI_5k_pca_rcc/output-XETG00113__0043813__SP093Z1-B6-Fp1U1Q2__20250501__172150,Yes
SP060Z1-Fp1U2,0043813,/diskmnt/primary/Xenium/data/20250501__171918__20250501_MGI_5k_pca_rcc/output-XETG00113__0043813__SP060Z1-Fp1U2__20250501__172150,Yes
SP048Z1-C27-Fp1Us1_1,0054148,/diskmnt/primary/Xenium/data/20250422__200605__20250422_MGI_prostate_serial/output-XETG00113__0054148__SP048Z1-C27-Fp1Us1_1__20250422__200630,Yes
SP048Z1-C27-Fp1Us1_29,0054483,/diskmnt/primary/Xenium/data/20250422__200605__20250422_MGI_prostate_serial/output-XETG00113__0054483__SP048Z1-C27-Fp1Us1_29__20250422__200630,Yes
